x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, nis, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
10.6069, 1.4972, 4.9301, 1.3330, 10.6159, 1.5517, 4.7858, 1.5703, R, 3.4110, 0.0620, 0.0929, 1.0563, 0.5448
10.8530, 1.5655, 4.9079, 1.3970, 10.8405, 1.5712, 4.7681, 1.4814, L, 1.5404, 0.0613, 0.0917, 1.0435, 0.5383
11.0979, 1.6370, 4.8844, 1.4621, 11.1078, 1.6236, 4.8460, 1.4815, R, 2.3111, 0.0606, 0.0906, 1.0310, 0.5319
11.3416, 1.7118, 4.8595, 1.5283, 11.3896, 1.6601, 4.9046, 1.4246, L, 2.2573, 0.0603, 0.0899, 1.0190, 0.5259
11.5840, 1.7899, 4.8331, 1.5955, 11.6198, 1.7183, 4.8395, 1.4340, R, 0.7851, 0.0599, 0.0896, 1.0074, 0.5204
11.8251, 1.8714, 4.8053, 1.6637, 11.8494, 1.7775, 4.8119, 1.4466, L, 0.3207, 0.0593, 0.0897, 0.9961, 0.5156
12.0647, 1.9564, 4.7760, 1.7327, 12.1061, 1.8723, 4.8797, 1.5553, R, 1.4547, 0.0590, 0.0895, 0.9853, 0.5107
12.3029, 2.0448, 4.7451, 1.8027, 12.3514, 1.8900, 4.8883, 1.4322, L, 0.8272, 0.0588, 0.0914, 0.9750, 0.5081
12.5394, 2.1368, 4.7126, 1.8734, 12.6090, 1.9498, 4.9592, 1.4351, R, 0.9205, 0.0590, 0.0944, 0.9655, 0.5067
12.7743, 2.2323, 4.6784, 1.9448, 12.8077, 2.0905, 4.8498, 1.6683, L, 3.0965, 0.0586, 0.0956, 0.9559, 0.5031
13.0075, 2.3314, 4.6426, 2.0170, 13.0759, 2.2031, 4.9431, 1.7956, R, 3.1277, 0.0588, 0.0964, 0.9472, 0.4990
13.2388, 2.4341, 4.6050, 2.0898, 13.2792, 2.3472, 4.8304, 2.0006, L, 2.2993, 0.0585, 0.0962, 0.9384, 0.4943
13.4682, 2.5405, 4.5656, 2.1632, 13.4525, 2.5065, 4.5557, 2.2175, R, 10.5505, 0.0580, 0.0954, 0.9294, 0.4896
13.6955, 2.6505, 4.5245, 2.2370, 13.7041, 2.6136, 4.5630, 2.2737, L, 0.9246, 0.0575, 0.0946, 0.9206, 0.4849
13.9208, 2.7643, 4.4815, 2.3113, 13.9223, 2.7314, 4.4969, 2.3526, R, 0.1412, 0.0569, 0.0938, 0.9120, 0.4805
14.1439, 2.8818, 4.4366, 2.3860, 14.1515, 2.8814, 4.4489, 2.5046, L, 0.4168, 0.0564, 0.0930, 0.9037, 0.4763
14.3646, 3.0030, 4.3897, 2.4610, 14.4037, 2.9918, 4.5482, 2.5334, R, 1.5815, 0.0562, 0.0921, 0.8958, 0.4722
14.5830, 3.1280, 4.3410, 2.5362, 14.6132, 3.0502, 4.5210, 2.4202, L, 2.4809, 0.0558, 0.0919, 0.8882, 0.4683
14.7989, 3.2568, 4.2902, 2.6116, 14.8441, 3.2108, 4.5319, 2.5843, R, 3.5321, 0.0556, 0.0913, 0.8811, 0.4642
15.0122, 3.3893, 4.2374, 2.6870, 15.0523, 3.4055, 4.4284, 2.8193, L, 0.7937, 0.0554, 0.0906, 0.8740, 0.4606
15.2228, 3.5256, 4.1826, 2.7625, 15.2600, 3.5811, 4.2884, 2.9762, R, 2.4330, 0.0552, 0.0901, 0.8668, 0.4576
15.4306, 3.6657, 4.1257, 2.8379, 15.4751, 3.7647, 4.2141, 3.1376, L, 0.3911, 0.0550, 0.0902, 0.8597, 0.4554
15.6355, 3.8096, 4.0668, 2.9131, 15.6859, 3.9006, 4.1705, 3.1582, R, 1.1224, 0.0549, 0.0903, 0.8529, 0.4528
15.8375, 3.9572, 4.0057, 2.9882, 15.9109, 4.0329, 4.1621, 3.1604, L, 0.3361, 0.0553, 0.0900, 0.8463, 0.4497
16.0363, 4.1085, 3.9425, 3.0629, 16.1036, 4.1993, 4.0025, 3.2452, R, 1.6717, 0.0555, 0.0901, 0.8397, 0.4468
16.2319, 4.2636, 3.8772, 3.1372, 16.3012, 4.3909, 3.9208, 3.3885, L, 0.2361, 0.0557, 0.0907, 0.8332, 0.4444
16.4242, 4.4224, 3.8097, 3.2111, 16.5119, 4.5561, 3.9056, 3.4472, R, 0.7000, 0.0563, 0.0915, 0.8270, 0.4420
16.6130, 4.5849, 3.7400, 3.2844, 16.6910, 4.7169, 3.8245, 3.4916, L, 0.5001, 0.0567, 0.0923, 0.8208, 0.4394
16.7983, 4.7510, 3.6682, 3.3570, 16.8393, 4.9131, 3.5313, 3.6045, R, 3.8799, 0.0565, 0.0937, 0.8150, 0.4372
16.9799, 4.9208, 3.5942, 3.4290, 17.0016, 5.1373, 3.3955, 3.7848, L, 0.3845, 0.0562, 0.0966, 0.8094, 0.4361
17.1579, 5.0941, 3.5180, 3.5001, 17.1719, 5.3058, 3.3133, 3.8111, R, 1.6853, 0.0558, 0.0992, 0.8039, 0.4346
17.3319, 5.2709, 3.4396, 3.5703, 17.3311, 5.4798, 3.2292, 3.8472, L, 0.2074, 0.0554, 0.1015, 0.7987, 0.4328
17.5019, 5.4513, 3.3591, 3.6395, 17.4878, 5.6454, 3.1285, 3.8536, R, 3.0630, 0.0550, 0.1034, 0.7936, 0.4305
17.6679, 5.6351, 3.2764, 3.7076, 17.6839, 5.7560, 3.1683, 3.7245, L, 1.9015, 0.0547, 0.1037, 0.7882, 0.4275
17.8297, 5.8222, 3.1915, 3.7746, 17.8274, 5.9499, 3.0135, 3.7954, R, 0.7346, 0.0543, 0.1040, 0.7831, 0.4247
17.9872, 6.0127, 3.1045, 3.8403, 18.0012, 6.1392, 2.9790, 3.8486, L, 0.8776, 0.0540, 0.1044, 0.7780, 0.4218
18.1402, 6.2064, 3.0154, 3.9046, 18.1522, 6.3459, 2.9106, 3.9400, R, 0.7743, 0.0537, 0.1049, 0.7730, 0.4191
18.2888, 6.4033, 2.9242, 3.9675, 18.2712, 6.5893, 2.7511, 4.1060, L, 0.5668, 0.0533, 0.1063, 0.7682, 0.4166
18.4328, 6.6033, 2.8309, 4.0289, 18.4032, 6.8033, 2.6361, 4.1826, R, 0.2101, 0.0531, 0.1081, 0.7636, 0.4143
18.5720, 6.8064, 2.7356, 4.0887, 18.5542, 6.9297, 2.6388, 4.0539, L, 1.9051, 0.0528, 0.1083, 0.7588, 0.4117
18.7064, 7.0124, 2.6383, 4.1467, 18.7065, 7.1337, 2.6524, 4.1110, R, 0.7818, 0.0525, 0.1084, 0.7541, 0.4091
18.8359, 7.2212, 2.5389, 4.2030, 18.9086, 7.2642, 2.7538, 3.9695, L, 3.7819, 0.0528, 0.1079, 0.7498, 0.4074
18.9604, 7.4328, 2.4377, 4.2574, 18.9963, 7.4621, 2.5171, 4.0027, R, 3.8726, 0.0526, 0.1073, 0.7452, 0.4059
19.0798, 7.6471, 2.3345, 4.3098, 19.0821, 7.7386, 2.3222, 4.2182, L, 1.5119, 0.0523, 0.1071, 0.7407, 0.4036
19.1939, 7.8640, 2.2295, 4.3602, 19.2056, 7.9420, 2.2790, 4.2496, R, 0.2955, 0.0520, 0.1068, 0.7363, 0.4014
19.3028, 8.0833, 2.1227, 4.4084, 19.2827, 8.1622, 2.1224, 4.3168, L, 1.2783, 0.0517, 0.1065, 0.7320, 0.3991
19.4062, 8.3050, 2.0141, 4.4544, 19.3841, 8.3700, 2.0760, 4.3520, R, 2.2166, 0.0515, 0.1061, 0.7277, 0.3969
19.5042, 8.5289, 1.9038, 4.4982, 19.4814, 8.5118, 2.0306, 4.2358, L, 3.3779, 0.0512, 0.1055, 0.7237, 0.3956
19.5966, 8.7549, 1.7919, 4.5396, 19.5740, 8.7163, 1.9186, 4.2505, R, 0.4925, 0.0510, 0.1050, 0.7197, 0.3946
19.6835, 8.9830, 1.6784, 4.5785, 19.7383, 8.8889, 1.9957, 4.1853, L, 3.9686, 0.0510, 0.1049, 0.7164, 0.3946
19.7645, 9.2129, 1.5634, 4.6149, 19.8122, 9.1073, 1.8226, 4.2249, R, 1.0398, 0.0510, 0.1049, 0.7130, 0.3945
19.8398, 9.4446, 1.4470, 4.6487, 19.9409, 9.3402, 1.8087, 4.2903, L, 3.2109, 0.0518, 0.1049, 0.7100, 0.3942
19.9093, 9.6779, 1.3292, 4.6798, 19.9853, 9.5603, 1.5564, 4.3150, R, 2.4843, 0.0521, 0.1050, 0.7066, 0.3938
19.9728, 9.9128, 1.2100, 4.7083, 20.0689, 9.8082, 1.4591, 4.4078, L, 0.9719, 0.0528, 0.1050, 0.7032, 0.3930
20.0303, 10.1489, 1.0897, 4.7339, 20.1303, 10.0592, 1.3645, 4.5113, R, 7.3499, 0.0535, 0.1049, 0.7001, 0.3915
