x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
-19.6069, -9.4147, -4.7359, 1.0191, -19.5569, -9.3648, -4.5576, 0.4565, R, 0.1002, 0.0850, 0.4674, 0.4250
-19.8431, -9.3607, -4.7049, 1.1408, -19.8380, -9.1997, -4.7041, 0.8337, L, 0.1000, 0.0853, 0.4667, 0.4248
-20.0775, -9.3006, -4.6707, 1.2622, -20.0652, -9.1137, -4.6168, 0.9818, R, 0.0999, 0.0858, 0.4661, 0.4244
-20.3102, -9.2345, -4.6333, 1.3830, -20.2208, -9.2675, -4.4137, 0.4420, L, 0.0999, 0.0857, 0.4655, 0.4268
-20.5409, -9.1623, -4.5927, 1.5033, -20.4429, -9.2587, -4.3932, 0.4169, R, 0.0999, 0.0857, 0.4650, 0.4301
-20.7696, -9.0841, -4.5490, 1.6230, -20.6905, -9.1217, -4.4802, 0.7205, L, 0.0998, 0.0856, 0.4644, 0.4322
-20.9959, -8.9999, -4.5020, 1.7418, -20.9191, -9.0689, -4.3750, 0.8152, R, 0.0998, 0.0856, 0.4638, 0.4343
-21.2198, -8.9099, -4.4519, 1.8597, -21.1298, -8.9739, -4.3742, 0.9499, L, 0.0997, 0.0855, 0.4631, 0.4364
-21.4412, -8.8139, -4.3986, 1.9767, -21.3484, -8.9170, -4.2502, 1.0253, R, 0.0997, 0.0856, 0.4625, 0.4387
-21.6597, -8.7122, -4.3422, 2.0925, -21.5490, -8.8729, -4.2254, 1.0031, L, 0.0997, 0.0859, 0.4619, 0.4419
-21.8754, -8.6047, -4.2827, 2.2071, -21.7194, -8.7757, -3.8897, 1.2166, R, 0.0999, 0.0862, 0.4618, 0.4443
-22.0881, -8.4914, -4.2201, 2.3204, -21.9385, -8.6564, -3.9518, 1.3735, L, 0.1001, 0.0865, 0.4613, 0.4465
-22.2975, -8.3726, -4.1544, 2.4323, -22.1398, -8.5675, -4.0108, 1.4098, R, 0.1003, 0.0870, 0.4607, 0.4492
-22.5035, -8.2482, -4.0856, 2.5427, -22.3986, -8.4241, -4.1398, 1.6149, L, 0.1003, 0.0874, 0.4601, 0.4512
-22.7061, -8.1183, -4.0139, 2.6515, -22.5729, -8.3421, -3.9284, 1.6605, R, 0.1004, 0.0881, 0.4595, 0.4536
-22.9049, -7.9830, -3.9392, 2.7585, -22.8558, -8.0232, -4.1470, 2.2922, L, 0.1003, 0.0880, 0.4590, 0.4536
-23.1000, -7.8424, -3.8616, 2.8637, -23.0288, -7.9119, -3.7806, 2.3707, R, 0.1003, 0.0879, 0.4584, 0.4537
-23.2911, -7.6966, -3.7812, 2.9670, -23.2830, -7.6885, -3.9251, 2.6602, L, 0.1001, 0.0878, 0.4578, 0.4534
-23.4781, -7.5457, -3.6979, 3.0683, -23.4781, -7.5435, -3.9414, 2.6865, R, 0.1000, 0.0877, 0.4574, 0.4532
-23.6609, -7.3898, -3.6119, 3.1675, -23.6539, -7.4001, -3.9033, 2.7040, L, 0.0999, 0.0876, 0.4570, 0.4532
-23.8393, -7.2290, -3.5232, 3.2645, -23.8362, -7.2480, -3.7673, 2.7782, R, 0.0997, 0.0875, 0.4566, 0.4533
-24.0132, -7.0634, -3.4319, 3.3592, -23.9989, -7.1731, -3.7081, 2.6049, L, 0.0996, 0.0875, 0.4562, 0.4544
-24.1825, -6.8931, -3.3380, 3.4515, -24.1547, -7.0147, -3.4505, 2.7282, R, 0.0995, 0.0876, 0.4556, 0.4553
